config_id,seeds,mean_lastN,std_lastN,episodes,n_price_bins,n_inv_bins,gamma,eps_start,eps_end,alpha_start,alpha_end
e105851e,3,1557.818886473724,59.07489486283085,50000,30,10,0.99,0.4,0.05,0.005,0.001
be79cff9,3,1557.7004048557974,51.44394684410124,50000,20,12,0.97,0.3,0.05,0.003,0.001
a4583768,3,1555.7389360333716,61.741529794305734,50000,30,10,0.97,0.4,0.05,0.003,0.001
31d3eab9,3,1555.340951786008,58.46901754409535,50000,30,10,0.99,0.4,0.05,0.003,0.001
6a877e2f,3,1553.1820432865607,54.36262245719169,50000,20,12,0.99,0.3,0.05,0.003,0.001
40482a5c,3,1551.9983989413595,54.504411164183246,50000,20,10,0.99,0.3,0.05,0.003,0.001
30582139,3,1548.6759619458314,54.15274658005793,50000,20,10,0.97,0.3,0.05,0.003,0.001
8bd79345,3,1547.0477575462317,60.772949923300054,50000,30,12,0.99,0.4,0.05,0.005,0.001
f9fe857c,3,1546.0036199158094,55.663069047852126,50000,20,12,0.97,0.3,0.05,0.005,0.001
3927c9e8,3,1544.4456120526984,58.71914972162915,50000,30,8,0.97,0.4,0.05,0.005,0.001
2b639722,3,1542.6276518886314,56.06462597993566,50000,20,8,0.97,0.3,0.05,0.003,0.001
a7c13a4d,3,1541.9082157390837,55.19875968258763,50000,30,8,0.97,0.4,0.05,0.003,0.001
f1ef4ba0,3,1541.6512336208277,52.91157849168252,50000,20,8,0.99,0.3,0.05,0.005,0.001
2b469a1e,3,1538.3274310538566,57.20279903120181,50000,30,10,0.97,0.3,0.05,0.003,0.001
42d4f5b6,3,1536.7398563636907,57.1971463660509,50000,30,12,0.97,0.4,0.05,0.005,0.001
64a7c2c9,3,1536.5243994604525,50.189436083001794,50000,20,10,0.97,0.3,0.05,0.005,0.001
5a09a36a,3,1533.237623496732,59.83555300287585,50000,30,10,0.97,0.4,0.05,0.005,0.001
bb2141dd,3,1531.0288602556732,59.426461145914764,50000,30,12,0.97,0.4,0.05,0.003,0.001
30e5efaf,3,1527.6970560921845,53.825494217215805,50000,30,10,0.99,0.3,0.05,0.005,0.001
76d12918,3,1527.1207815127634,57.6664473309921,50000,30,12,0.99,0.3,0.05,0.003,0.001
1f1dfb7e,3,1524.5989536996722,52.91442419664744,50000,20,12,0.99,0.3,0.05,0.005,0.001
27db00b9,3,1522.649630962127,59.14934623726477,50000,30,12,0.97,0.3,0.05,0.005,0.001
e52af449,3,1520.3256002630521,58.814022418845326,50000,30,12,0.99,0.3,0.05,0.005,0.001
3b9e7a30,3,1519.486688556012,56.02694365906626,50000,30,12,0.97,0.3,0.05,0.003,0.001
33e09ff4,3,1519.1048291137222,50.81768966805142,50000,30,8,0.97,0.3,0.05,0.005,0.001
e3b5eb36,3,1512.6844123510507,54.036575725185266,50000,30,8,0.99,0.3,0.05,0.005,0.001
a7ba4cc9,3,1509.3190532480487,56.16561979904254,50000,30,8,0.97,0.3,0.05,0.003,0.001
d47186d7,3,1508.1810281485384,57.38397426000983,50000,30,8,0.99,0.3,0.05,0.003,0.001
fc0b0a2a,3,1507.625259700703,56.44084378642804,50000,30,10,0.97,0.3,0.05,0.005,0.001
044a6537,3,1506.8106943430641,59.05989801159651,50000,30,8,0.99,0.4,0.05,0.003,0.001
b53d0284,3,1493.001250487968,52.58557054954088,50000,30,10,0.99,0.3,0.05,0.003,0.001
