episode,algo,reward
95,Random,968.1534681632958
96,Random,1311.1561064411835
97,Random,988.2153404827083
98,Random,1212.5946967651905
99,Random,1062.2591969374218
100,Random,898.7676829595391
101,Random,1170.5652900278594
102,Random,1109.7335216483364
103,Random,1220.733198744631
104,Random,1157.133997376364
105,Random,1308.665959410964
106,Random,1295.2365331654719
107,Random,902.0907707376514
108,Random,944.5583938558506
109,Random,1367.4064364048427
110,Random,1003.1346393849195
111,Random,1405.6323067689486
112,Random,1378.196186271914
113,Random,1022.098624371678
114,Random,1372.36612338436
115,Random,1118.1328451988693
116,Random,1307.276521324426
117,Random,1178.4893838821051
118,Random,1225.1687973778169
119,Random,1300.6278394924113
120,Random,1505.9145194005978
121,Random,1021.638734914703
122,Random,905.5674591437635
123,Random,910.9249024041261
124,Random,943.1923542301763
125,Random,1446.2831316436955
126,Random,1104.4087787795106
127,Random,1309.7211141631628
128,Random,1163.901376622927
129,Random,918.692580885569
130,Random,996.5956723541254
131,Random,1196.021814960604
132,Random,1119.982700766387
133,Random,953.133991208507
134,Random,969.4689055888653
135,Random,1187.7209994050136
136,Random,1093.8917386870003
137,Random,1153.9059953111307
138,Random,1097.2508315969958
139,Random,1021.6694140234482
140,Random,1396.0753366496158
141,Random,1376.3091797490802
142,Random,1307.6786370297646
143,Random,1450.1058359835276
144,Random,954.3721982461576
145,Random,1659.296748128512
146,Random,1494.0244939294275
147,Random,877.7832421263662
148,Random,686.530447469903
149,Random,1430.6656568125136
150,Random,1354.9187585685281
151,Random,1078.3071429056006
152,Random,1051.2058841997646
153,Random,1125.5706335191933
154,Random,1301.655370938972
155,Random,1284.5596618949376
156,Random,928.250055677645
157,Random,1433.5817286373124
158,Random,821.5854837230864
159,Random,1126.294026792486
160,Random,1141.2460215214096
161,Random,1240.7802920039321
162,Random,1597.6982565988428
163,Random,1350.4845195094279
164,Random,1611.81453348604
165,Random,1141.4112398789648
166,Random,1384.3329364007964
167,Random,1195.6964197454108
168,Random,1504.0284576663794
169,Random,1401.534099302573
170,Random,1081.0953745978027
171,Random,1314.2713698386247
172,Random,1201.3723838078258
173,Random,1067.9895600135676
174,Random,1079.7687319339936
175,Random,1554.4055194220746
176,Random,775.3228486696364
177,Random,1467.2701273635387
178,Random,1273.3923587329052
179,Random,973.8958129964591
180,Random,1420.2225452057323
181,Random,1024.0840303764971
182,Random,812.5252768425054
183,Random,832.0460530635925
184,Random,1123.1037539511146
185,Random,1035.5594012823021
186,Random,1215.3679350942823
187,Random,1574.8636144655932
188,Random,810.906959213821
189,Random,873.3464166127442
190,Random,1170.5910897178755
191,Random,1062.874540002622
192,Random,1530.6832845080307
193,Random,1393.4098950610603
194,Random,1531.8721860138626
195,Random,1366.4110366108748
196,Random,977.1051897310283
197,Random,1216.4879808679193
198,Random,830.68482566352
199,Random,1154.244914807405
0,Fixed,1479.1840441061227
1,Fixed,1480.1715657567097
2,Fixed,1477.2633328365841
3,Fixed,1481.0465516172576
4,Fixed,1474.4510766046092
5,Fixed,1476.5652181976388
6,Fixed,1471.0596986522437
7,Fixed,1477.29289139385
8,Fixed,1481.4020200095167
9,Fixed,1480.184587486227
10,Fixed,1478.049797638738
11,Fixed,1481.0946639391943
12,Fixed,1483.842372558843
13,Fixed,1481.4822677081377
14,Fixed,1475.8704783758292
15,Fixed,1480.0541756509338
16,Fixed,1478.9063772955092
17,Fixed,1475.2663011131413
18,Fixed,1482.7480054695616
19,Fixed,1480.5494967807952
20,Fixed,1474.8388268886197
21,Fixed,1471.2294994639528
22,Fixed,1476.4343067912146
23,Fixed,1483.996143981387
24,Fixed,1482.2723247275421
25,Fixed,1477.6380125297942
26,Fixed,1473.4418704002396
27,Fixed,1481.4585869909738
28,Fixed,1480.2046169089112
29,Fixed,1482.7038713672703
30,Fixed,1472.2539584505507
31,Fixed,1478.9725169803164
32,Fixed,1479.948259901053
33,Fixed,1482.1922389605347
34,Fixed,1485.6292861690697
35,Fixed,1477.0606813189522
36,Fixed,1480.2508275934306
37,Fixed,1479.850986086539
38,Fixed,1478.9275646046358
39,Fixed,1480.4953316672595
40,Fixed,1478.5967624634688
41,Fixed,1479.013564803433
42,Fixed,1480.0013132040845
43,Fixed,1484.5041801643815
44,Fixed,1475.5942664420595
45,Fixed,1480.9205353195957
46,Fixed,1484.6779187711272
47,Fixed,1479.9377862204126
48,Fixed,1477.3254559087102
49,Fixed,1477.9212039329836
50,Fixed,1480.8312277251541
51,Fixed,1479.5174244600712
52,Fixed,1479.6603012040534
53,Fixed,1482.6218172991191
54,Fixed,1480.8798795553778
55,Fixed,1479.4532591747775
56,Fixed,1479.3420724727248
57,Fixed,1480.674418923788
58,Fixed,1476.1502246927018
59,Fixed,1482.8340331860663
60,Fixed,1480.283439478904
61,Fixed,1483.682012018033
62,Fixed,1480.2392509989756
63,Fixed,1484.84675899526
64,Fixed,1478.0339029827542
65,Fixed,1481.4429783557923
66,Fixed,1476.4003799954576
67,Fixed,1483.007126541714
68,Fixed,1483.1681477366444
69,Fixed,1475.0947079254604
70,Fixed,1474.0112093369896
71,Fixed,1481.936561881431
72,Fixed,1479.0272964622557
73,Fixed,1475.187085536631
74,Fixed,1480.1212966484695
75,Fixed,1479.476205096007
76,Fixed,1480.6983599949747
77,Fixed,1474.5659791318112
78,Fixed,1476.4231214344318
79,Fixed,1480.2932816175878
80,Fixed,1480.5055794247323
